Transaction_ID,Timestamp,User_ID,Sender_Account,Amount,Origin_IP,Device_ID,Destination_Account,Location
TXN-008133,2026-03-23 10:00:00,USR-134,ACC-013400,$55.04,192.168.1.103,DEV-TBC-134A,ACC-564637,"New York, USA"
TXN-008444,2026-03-23 10:00:09,USR-145,ACC-014500,$150.60,172.20.0.164,DEV-BVB-145A,ACC-194682,"Singapore, SG"
TXN-008354,2026-03-23 10:00:17,USR-055,ACC-005500,$120.34,10.0.0.190,DEV-IMB-055A,ACC-540552,"London, UK"
TXN-008013,2026-03-23 10:00:27,USR-014,ACC-001400,$215.72,10.10.0.164,DEV-TNC-014A,ACC-755674,"Berlin, Germany"
TXN-008344,2026-03-23 10:00:39,USR-045,ACC-004500,$150.86,10.10.0.231,DEV-ISO-045A,ACC-301158,"Berlin, Germany"
TXN-008920,2026-03-23 10:00:42,USR-036,ACC-003650,"$2,579.24",178.172.0.118,DEV-BJY-036F,ACC-966086,"Minsk, BLR"
TXN-008176,2026-03-23 10:00:54,USR-027,ACC-002700,$180.74,192.168.1.147,DEV-BPN-027A,ACC-656926,"New York, USA"
TXN-008258,2026-03-23 10:01:06,USR-109,ACC-010900,$86.47,10.10.0.240,DEV-KFU-109A,ACC-483629,"Berlin, Germany"
TXN-008606,2026-03-23 10:01:17,USR-007,ACC-000700,$143.48,192.168.3.96,DEV-RSR-007A,ACC-174870,"Paris, France"
TXN-008437,2026-03-23 10:01:18,USR-138,ACC-013800,$35.98,192.168.3.189,DEV-WBA-138A,ACC-181644,"Paris, France"
TXN-008549,2026-03-23 10:01:25,USR-100,ACC-010000,$154.63,10.10.0.18,DEV-TLC-100A,ACC-764532,"Berlin, Germany"
TXN-008189,2026-03-23 10:01:35,USR-040,ACC-004000,$131.55,192.168.1.141,DEV-FVL-040A,ACC-420015,"New York, USA"
TXN-008296,2026-03-23 10:01:50,USR-147,ACC-014700,$417.36,192.168.3.179,DEV-CQB-147A,ACC-841995,"Paris, France"
TXN-008669,2026-03-23 10:02:01,USR-070,ACC-007000,$163.41,10.20.0.45,DEV-TRQ-070A,ACC-614663,"Tokyo, Japan"
TXN-008564,2026-03-23 10:02:10,USR-115,ACC-011500,$176.64,10.20.0.42,DEV-RTY-115A,ACC-539486,"Tokyo, Japan"
TXN-008897,2026-03-23 10:02:11,USR-148,ACC-014800,$101.01,172.16.0.229,DEV-XKU-148A,ACC-811875,"Toronto, Canada"
TXN-008915,2026-03-23 10:02:16,USR-055,ACC-005550,"$5,960.09",178.172.0.12,DEV-KUY-055F,ACC-993933,"Lagos, NGA"
TXN-008738,2026-03-23 10:02:19,USR-139,ACC-013900,$80.73,10.20.0.102,DEV-KZE-139A,ACC-748151,"Tokyo, Japan"
TXN-008143,2026-03-23 10:02:20,USR-144,ACC-014400,$62.27,192.168.3.12,DEV-BLH-144A,ACC-388016,"Paris, France"
TXN-008003,2026-03-23 10:02:25,USR-004,ACC-000400,$42.54,192.168.3.8,DEV-JJI-004A,ACC-377370,"Paris, France"
TXN-008002,2026-03-23 10:02:29,USR-003,ACC-000300,$161.67,172.20.0.99,DEV-VAU-003A,ACC-832052,"Singapore, SG"
TXN-008116,2026-03-23 10:02:42,USR-117,ACC-011700,$35.47,192.168.3.32,DEV-ROZ-117A,ACC-476096,"Paris, France"
TXN-008367,2026-03-23 10:02:54,USR-068,ACC-006800,$133.94,192.168.2.40,DEV-ORI-068A,ACC-618317,"Sydney, Australia"
TXN-008995,2026-03-23 10:03:04,USR-081,ACC-008150,"$7,476.79",178.172.0.179,DEV-LOQ-081F,ACC-930079,"Minsk, BLR"
TXN-008075,2026-03-23 10:03:09,USR-076,ACC-007600,$95.22,192.168.1.75,DEV-WCB-076A,ACC-615633,"New York, USA"
TXN-008872,2026-03-23 10:03:10,USR-123,ACC-012300,$177.19,10.10.0.162,DEV-ZBM-123A,ACC-521126,"Berlin, Germany"
TXN-008438,2026-03-23 10:03:18,USR-139,ACC-013900,$139.78,10.20.0.116,DEV-KZE-139A,ACC-748151,"Tokyo, Japan"
TXN-008910,2026-03-23 10:03:29,USR-093,ACC-009350,"$5,620.96",41.58.100.99,DEV-HPZ-093F,ACC-949628,"Pyongyang, PRK"
TXN-008824,2026-03-23 10:03:30,USR-075,ACC-007500,$250.82,172.16.0.47,DEV-TCA-075A,ACC-398151,"Toronto, Canada"
TXN-008466,2026-03-23 10:03:32,USR-017,ACC-001700,$304.89,10.0.0.44,DEV-NDR-017A,ACC-676510,"London, UK"
TXN-008201,2026-03-23 10:03:39,USR-052,ACC-005200,$150.27,172.20.0.254,DEV-SNV-052A,ACC-674485,"Singapore, SG"
TXN-008360,2026-03-23 10:03:50,USR-061,ACC-006100,$74.23,192.168.3.199,DEV-BYB-061A,ACC-132537,"Paris, France"
TXN-008902,2026-03-23 10:03:55,USR-144,ACC-014450,"$1,658.94",185.15.55.206,DEV-PJB-144F,ACC-957430,"Moscow, RUS"
TXN-008071,2026-03-23 10:04:06,USR-072,ACC-007200,$151.80,192.168.3.35,DEV-HGD-072A,ACC-301939,"Paris, France"
TXN-008838,2026-03-23 10:04:20,USR-089,ACC-008900,$125.50,172.20.0.221,DEV-TFO-089A,ACC-402020,"Singapore, SG"
TXN-008118,2026-03-23 10:04:35,USR-119,ACC-011900,$21.59,192.168.2.243,DEV-TFF-119A,ACC-344316,"Sydney, Australia"
TXN-008218,2026-03-23 10:04:46,USR-069,ACC-006900,$111.30,10.10.0.41,DEV-WSH-069A,ACC-110644,"Berlin, Germany"
TXN-008107,2026-03-23 10:04:52,USR-108,ACC-010800,$154.70,172.16.0.245,DEV-XQI-108A,ACC-562236,"Toronto, Canada"
TXN-008592,2026-03-23 10:05:06,USR-143,ACC-014300,$192.56,172.20.0.190,DEV-OPR-143A,ACC-691912,"Singapore, SG"
TXN-008280,2026-03-23 10:05:08,USR-131,ACC-013100,$141.17,192.168.1.58,DEV-RSA-131A,ACC-386544,"New York, USA"
TXN-008401,2026-03-23 10:05:09,USR-102,ACC-010200,$98.22,172.16.0.119,DEV-CWQ-102A,ACC-352528,"Toronto, Canada"
TXN-008622,2026-03-23 10:05:14,USR-023,ACC-002300,$32.01,172.20.0.214,DEV-EMW-023A,ACC-179046,"Singapore, SG"
TXN-008328,2026-03-23 10:05:28,USR-029,ACC-002900,$105.53,10.20.0.209,DEV-OIG-029A,ACC-802258,"Tokyo, Japan"
TXN-008981,2026-03-23 10:05:43,USR-007,ACC-000750,"$2,993.35",175.45.176.133,DEV-PES-007F,ACC-945224,"Pyongyang, PRK"
TXN-008492,2026-03-23 10:05:54,USR-043,ACC-004300,$160.36,192.168.3.97,DEV-ZDX-043A,ACC-299312,"Paris, France"
TXN-008681,2026-03-23 10:06:01,USR-082,ACC-008200,$309.89,10.10.0.112,DEV-BEH-082A,ACC-885339,"Berlin, Germany"
TXN-008125,2026-03-23 10:06:05,USR-126,ACC-012600,$73.46,192.168.2.242,DEV-XKV-126A,ACC-518098,"Sydney, Australia"
TXN-008311,2026-03-23 10:06:12,USR-012,ACC-001200,$141.61,10.20.0.211,DEV-KPM-012A,ACC-363626,"Tokyo, Japan"
TXN-008888,2026-03-23 10:06:21,USR-139,ACC-013900,$58.11,10.20.0.186,DEV-KZE-139A,ACC-748151,"Tokyo, Japan"
TXN-008950,2026-03-23 10:06:33,USR-138,ACC-013850,"$1,963.40",41.58.100.137,DEV-WOO-138F,ACC-666000,"Lagos, NGA"
TXN-008479,2026-03-23 10:06:35,USR-030,ACC-003000,$167.67,10.10.0.43,DEV-YYA-030A,ACC-751332,"Berlin, Germany"
TXN-008279,2026-03-23 10:06:50,USR-130,ACC-013000,$56.62,172.20.0.138,DEV-CVJ-130A,ACC-899649,"Singapore, SG"
TXN-008490,2026-03-23 10:06:56,USR-041,ACC-004100,$165.97,192.168.2.174,DEV-HBU-041A,ACC-468203,"Sydney, Australia"
TXN-008217,2026-03-23 10:07:04,USR-068,ACC-006800,$274.49,192.168.2.16,DEV-ORI-068A,ACC-618317,"Sydney, Australia"
