Transaction_ID,Timestamp,User_ID,Sender_Account,Amount,Origin_IP,Device_ID,Destination_Account,Location
TXN-002575,2025-12-23 11:14:55,USR-042,ACC-004200,$130.90,192.168.3.191,DEV-CZE-042A,ACC-378361,"Paris, France"
TXN-002623,2025-12-23 13:15:43,USR-001,ACC-000100,$31.82,10.0.0.162,DEV-HFT-001A,ACC-809570,"London, UK"
TXN-002517,2025-12-23 15:12:22,USR-022,ACC-002200,$268.11,192.168.1.146,DEV-ZCK-022A,ACC-455784,"New York, USA"
TXN-001568,2025-12-23 17:10:01,USR-105,ACC-010500,$43.92,172.20.0.161,DEV-JJH-105A,ACC-833247,"Singapore, SG"
TXN-002312,2025-12-23 17:11:16,USR-030,ACC-003000,$140.37,10.10.0.179,DEV-YYA-030A,ACC-751332,"Berlin, Germany"
TXN-002840,2025-12-23 18:34:03,USR-114,ACC-011400,$320.02,10.10.0.242,DEV-DBA-114A,ACC-616554,"Berlin, Germany"
TXN-001641,2025-12-23 19:36:49,USR-072,ACC-007200,$223.57,192.168.3.147,DEV-HGD-072A,ACC-301939,"Paris, France"
TXN-001298,2025-12-23 20:00:23,USR-038,ACC-003800,$436.73,172.16.0.140,DEV-GEU-038A,ACC-285652,"Toronto, Canada"
TXN-002524,2025-12-23 22:00:38,USR-022,ACC-002200,$170.93,192.168.1.185,DEV-ZCK-022A,ACC-455784,"New York, USA"
TXN-001611,2025-12-23 22:29:31,USR-052,ACC-005200,$134.92,172.20.0.159,DEV-SNV-052A,ACC-674485,"Singapore, SG"
TXN-002226,2025-12-24 00:04:49,USR-079,ACC-007900,$136.26,10.0.0.126,DEV-FFR-079A,ACC-264686,"London, UK"
TXN-002284,2025-12-24 00:57:37,USR-036,ACC-003600,$273.74,172.16.0.209,DEV-VPD-036A,ACC-233636,"Toronto, Canada"
TXN-002026,2025-12-24 01:40:16,USR-092,ACC-009200,$123.55,192.168.2.19,DEV-DEP-092A,ACC-882544,"Sydney, Australia"
TXN-002529,2025-12-24 02:06:09,USR-137,ACC-013700,$13.00,10.0.0.169,DEV-TEJ-137A,ACC-837852,"London, UK"
TXN-002304,2025-12-24 02:55:17,USR-085,ACC-008500,$154.29,10.10.0.134,DEV-TEN-085A,ACC-563711,"Berlin, Germany"
TXN-002502,2025-12-24 02:59:15,USR-101,ACC-010100,$343.11,10.10.0.180,DEV-BUH-101A,ACC-493049,"Berlin, Germany"
TXN-001795,2025-12-24 04:24:48,USR-132,ACC-013200,$98.57,192.168.1.231,DEV-DRB-132A,ACC-876962,"New York, USA"
TXN-002755,2025-12-24 05:45:24,USR-127,ACC-012700,$196.77,10.10.0.193,DEV-DXB-127A,ACC-189511,"Berlin, Germany"
TXN-002658,2025-12-24 07:53:40,USR-020,ACC-002000,$130.28,192.168.1.28,DEV-XWB-020A,ACC-349565,"New York, USA"
TXN-002467,2025-12-24 08:58:59,USR-005,ACC-000500,$21.77,10.20.0.251,DEV-HQX-005A,ACC-479201,"Tokyo, Japan"
TXN-001784,2025-12-24 09:10:55,USR-119,ACC-011900,$49.45,192.168.2.133,DEV-TFF-119A,ACC-344316,"Sydney, Australia"
TXN-001602,2025-12-24 10:02:52,USR-062,ACC-006200,$83.55,172.16.0.224,DEV-MCY-062A,ACC-587623,"Toronto, Canada"
TXN-001038,2025-12-24 11:07:37,USR-078,ACC-007800,$228.33,192.168.2.132,DEV-JXH-078A,ACC-717113,"Sydney, Australia"
TXN-002730,2025-12-24 11:19:23,USR-023,ACC-002300,$51.88,172.20.0.109,DEV-EMW-023A,ACC-179046,"Singapore, SG"
TXN-002121,2025-12-24 11:44:29,USR-095,ACC-009500,$178.60,192.168.2.221,DEV-GJW-095A,ACC-530728,"Sydney, Australia"
TXN-002167,2025-12-24 12:07:21,USR-148,ACC-014800,$147.84,172.16.0.40,DEV-XKU-148A,ACC-811875,"Toronto, Canada"
TXN-001319,2025-12-24 14:24:23,USR-028,ACC-002800,$29.06,172.16.0.90,DEV-BWK-028A,ACC-697347,"Toronto, Canada"
TXN-002721,2025-12-24 15:04:30,USR-029,ACC-002900,$221.00,10.20.0.209,DEV-OIG-029A,ACC-802258,"Tokyo, Japan"
TXN-002727,2025-12-24 16:46:48,USR-029,ACC-002900,$151.85,10.20.0.40,DEV-OIG-029A,ACC-802258,"Tokyo, Japan"
TXN-002207,2025-12-24 16:58:18,USR-090,ACC-009000,$148.55,192.168.2.158,DEV-IAK-090A,ACC-335615,"Sydney, Australia"
TXN-001147,2025-12-24 19:28:24,USR-039,ACC-003900,$145.04,192.168.3.13,DEV-KRT-039A,ACC-360222,"Paris, France"
TXN-001229,2025-12-24 23:07:11,USR-116,ACC-011600,$247.28,10.0.0.79,DEV-QYH-116A,ACC-823811,"London, UK"
TXN-001689,2025-12-24 23:54:31,USR-032,ACC-003200,$102.66,10.10.0.170,DEV-ZRA-032A,ACC-681542,"Berlin, Germany"
TXN-002321,2025-12-25 00:45:05,USR-136,ACC-013600,$94.87,192.168.1.224,DEV-ZBF-136A,ACC-321494,"New York, USA"
TXN-002706,2025-12-25 01:58:23,USR-118,ACC-011800,$38.13,172.20.0.122,DEV-FQZ-118A,ACC-153035,"Singapore, SG"
TXN-001373,2025-12-25 02:29:48,USR-061,ACC-006100,$80.75,192.168.3.80,DEV-BYB-061A,ACC-132537,"Paris, France"
TXN-002204,2025-12-25 03:07:28,USR-139,ACC-013900,$114.22,10.20.0.150,DEV-KZE-139A,ACC-748151,"Tokyo, Japan"
TXN-002566,2025-12-25 03:09:14,USR-084,ACC-008400,$215.46,192.168.3.24,DEV-AFR-084A,ACC-703139,"Paris, France"
TXN-001495,2025-12-25 05:20:55,USR-057,ACC-005700,$196.89,10.20.0.133,DEV-TUX-057A,ACC-611945,"Tokyo, Japan"
TXN-001110,2025-12-25 05:43:30,USR-010,ACC-001000,$395.09,10.20.0.39,DEV-QDD-010A,ACC-881177,"Tokyo, Japan"
TXN-002422,2025-12-25 08:00:44,USR-140,ACC-014000,$223.78,10.20.0.210,DEV-GPN-140A,ACC-514991,"Tokyo, Japan"
TXN-001939,2025-12-25 08:05:40,USR-008,ACC-000800,$195.77,172.16.0.175,DEV-HYR-008A,ACC-330283,"Toronto, Canada"
TXN-002242,2025-12-25 08:09:47,USR-115,ACC-011500,$193.23,10.20.0.110,DEV-RTY-115A,ACC-539486,"Tokyo, Japan"
TXN-001473,2025-12-25 09:32:26,USR-126,ACC-012600,$173.44,192.168.2.151,DEV-XKV-126A,ACC-518098,"Sydney, Australia"
TXN-001661,2025-12-25 09:47:47,USR-006,ACC-000600,$336.44,192.168.2.42,DEV-ZWW-006A,ACC-498591,"Sydney, Australia"
TXN-002653,2025-12-25 10:16:17,USR-020,ACC-002000,$44.74,192.168.1.4,DEV-XWB-020A,ACC-349565,"New York, USA"
TXN-002645,2025-12-25 11:02:37,USR-020,ACC-002000,$64.94,192.168.1.227,DEV-XWB-020A,ACC-349565,"New York, USA"
TXN-002383,2025-12-25 12:15:07,USR-113,ACC-011300,$204.60,192.168.1.87,DEV-YIP-113A,ACC-779112,"New York, USA"
TXN-001474,2025-12-25 13:48:52,USR-126,ACC-012600,$222.27,192.168.2.97,DEV-XKV-126A,ACC-518098,"Sydney, Australia"
TXN-001581,2025-12-25 15:31:27,USR-025,ACC-002500,$395.18,192.168.2.166,DEV-XEA-025A,ACC-509386,"Sydney, Australia"
TXN-001878,2025-12-25 16:12:26,USR-106,ACC-010600,$17.99,10.10.0.47,DEV-WUZ-106A,ACC-735863,"Berlin, Germany"
TXN-002762,2025-12-25 17:11:26,USR-146,ACC-014600,$161.20,192.168.1.98,DEV-VQI-146A,ACC-598733,"New York, USA"
TXN-002219,2025-12-25 17:12:34,USR-079,ACC-007900,$192.54,10.0.0.188,DEV-FFR-079A,ACC-264686,"London, UK"
TXN-001087,2025-12-25 17:13:33,USR-142,ACC-014200,$98.50,172.16.0.15,DEV-DFP-142A,ACC-897143,"Toronto, Canada"
TXN-002075,2025-12-25 19:35:51,USR-041,ACC-004100,$80.98,192.168.2.60,DEV-HBU-041A,ACC-468203,"Sydney, Australia"
TXN-001307,2025-12-25 19:46:40,USR-122,ACC-012200,$135.25,10.0.0.216,DEV-UNC-122A,ACC-628313,"London, UK"
TXN-001133,2025-12-25 21:06:13,USR-009,ACC-000900,$316.05,192.168.2.152,DEV-UKB-009A,ACC-694731,"Sydney, Australia"
TXN-001710,2025-12-26 00:29:03,USR-083,ACC-008300,$138.57,172.20.0.167,DEV-SYN-083A,ACC-617781,"Singapore, SG"
TXN-001338,2025-12-26 00:32:30,USR-053,ACC-005300,$124.92,172.20.0.40,DEV-GQT-053A,ACC-646622,"Singapore, SG"
TXN-001886,2025-12-26 01:18:48,USR-091,ACC-009100,$252.90,10.0.0.77,DEV-EYH-091A,ACC-839677,"London, UK"
TXN-001047,2025-12-26 01:36:32,USR-004,ACC-000400,$36.18,192.168.3.22,DEV-JJI-004A,ACC-377370,"Paris, France"
TXN-001511,2025-12-26 02:33:19,USR-086,ACC-008600,$202.40,172.20.0.212,DEV-MKI-086A,ACC-209680,"Singapore, SG"
TXN-002178,2025-12-26 03:06:52,USR-123,ACC-012300,$235.29,10.10.0.87,DEV-ZBM-123A,ACC-521126,"Berlin, Germany"
